Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
4/1/2019,112-0000000-0000001,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$35.00 ,$0.00 ,$1.93 ,$0.00 ,$1.93 ,$36.93 ,Your Name,
4/1/2019,112-0000000-0000002,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$16.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$16.99 ,Your Name,
4/1/2019,112-0000000-0000003,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.99 ,Your Name,
4/4/2019,112-0000000-0000004,Visa - 0001,Amazon.com,,your_email@gmail.com,4/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$147.98 ,$0.00 ,$8.14 ,$0.00 ,$8.14 ,$156.12 ,Your Name,
4/5/2019,112-0000000-0000005,Visa - 0001,Amazon.com,,your_email@gmail.com,4/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$14.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$14.99 ,Your Name,
4/5/2019,112-0000000-0000006,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.99 ,$0.00 ,$0.66 ,$0.00 ,$0.66 ,$12.65 ,Your Name,
4/7/2019,112-0000000-0000007,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$38.98 ,$0.00 ,$1.65 ,$0.00 ,$1.65 ,$40.63 ,Your Name,
4/8/2019,112-0000000-0000008,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$44.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$44.99 ,Your Name,
4/20/2019,112-0000000-0000009,Visa - 0001,Amazon.com,,your_email@gmail.com,4/21/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$27.30 ,$0.00 ,$1.50 ,$0.00 ,$1.50 ,$28.80 ,Your Name,
4/23/2019,112-0000000-0000010,Visa - 0001,Amazon.com,,your_email@gmail.com,4/24/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$37.08 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.08 ,Your Name,
5/5/2019,112-0000000-0000011,Visa - 0001,Amazon.com,,your_email@gmail.com,5/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,China Post(0003),$12.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.99 ,Your Name,
5/6/2019,112-0000000-0000012,Visa - 0001,Amazon.com,,your_email@gmail.com,5/7/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.20 ,$0.00 ,$0.40 ,$0.00 ,$0.40 ,$7.60 ,Your Name,
5/10/2019,112-0000000-0000013,Visa - 0001,Amazon.com,,your_email@gmail.com,5/12/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$27.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$27.99 ,Your Name,
5/14/2019,112-0000000-0000014,Visa - 0001,Amazon.com,,your_email@gmail.com,5/15/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$15.32 ,$0.00 ,$0.84 ,$0.00 ,$0.84 ,$16.16 ,Your Name,
5/18/2019,112-0000000-0000015,Visa - 0001,Amazon.com,,your_email@gmail.com,5/19/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.95 ,$0.00 ,$0.55 ,$0.00 ,$0.55 ,$10.50 ,Your Name,
5/19/2019,112-0000000-0000016,Visa - 0001,Amazon.com,,your_email@gmail.com,5/20/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$38.89 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.89 ,Your Name,
5/21/2019,112-0000000-0000017,Visa - 0001,Amazon.com,,your_email@gmail.com,5/22/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$8.95 ,$0.00 ,$0.49 ,$0.00 ,$0.49 ,$9.44 ,Your Name,
5/21/2019,112-0000000-0000018,Visa - 0001,Amazon.com,,your_email@gmail.com,5/22/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.99 ,Your Name,
5/21/2019,112-0000000-0000019,Visa - 5555,Amazon.com,,your_email@gmail.com,5/22/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$7.99 ,Your Name,
5/22/2019,112-0000000-0000020,Visa - 5555,Amazon.com,,your_email@gmail.com,5/22/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$16.98 ,$0.00 ,$0.93 ,$0.00 ,$0.93 ,$17.91 ,Your Name,
5/22/2019,112-0000000-0000021,Visa - 5555,Amazon.com,,your_email@gmail.com,5/23/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$35.00 ,$0.00 ,$1.92 ,$0.00 ,$1.92 ,$36.92 ,Your Name,
5/22/2019,112-0000000-0000022,Visa - 5555,Amazon.com,,your_email@gmail.com,5/23/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.50 ,$0.00 ,$0.41 ,$0.00 ,$0.41 ,$7.91 ,Your Name,
5/24/2019,112-0000000-0000023,Visa - 0001,Amazon.com,,your_email@gmail.com,5/25/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$7.67 ,Your Name,
5/25/2019,112-0000000-0000024,Visa - 0001,Amazon.com,,your_email@gmail.com,5/27/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.80 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.80 ,Your Name,
5/28/2019,112-0000000-0000025,Visa - 0001,Amazon.com,,your_email@gmail.com,5/28/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$13.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.95 ,Your Name,
5/29/2019,112-0000000-0000026,Visa - 0001,Amazon.com,,your_email@gmail.com,5/30/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.99 ,Your Name,
5/30/2019,112-0000000-0000027,Visa - 0001,Amazon.com,,your_email@gmail.com,6/1/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$10.98 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$11.58 ,Your Name,
5/30/2019,112-0000000-0000028,Visa - 0001,Amazon.com,,your_email@gmail.com,5/30/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$32.98 ,$0.00 ,$0.82 ,$0.00 ,$0.82 ,$33.80 ,Your Name,
6/3/2019,112-0000000-0000029,Visa - 0001,Amazon.com,,your_email@gmail.com,6/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$28.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$28.99 ,Your Name,
6/3/2019,112-0000000-0000030,Visa - 0001,Amazon.com,,your_email@gmail.com,6/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$13.88 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.88 ,Your Name,
6/5/2019,112-0000000-0000031,Visa - 0001,Amazon.com,,your_email@gmail.com,6/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.62 ,$0.00 ,$0.64 ,$0.00 ,$0.64 ,$12.26 ,Your Name,
6/18/2019,112-0000000-0000032,Visa - 0001,Amazon.com,,your_email@gmail.com,6/19/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.98 ,$0.00 ,$0.66 ,$0.00 ,$0.66 ,$12.64 ,Your Name,
6/25/2019,112-0000000-0000033,Visa - 0001,Amazon.com,,your_email@gmail.com,6/26/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$51.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$51.99 ,Your Name,
6/25/2019,112-0000000-0000034,Visa - 0001,Amazon.com,,your_email@gmail.com,6/26/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$10.59 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$10.59 ,Your Name,
7/3/2019,112-0000000-0000035,Visa - 0001,Amazon.com,,your_email@gmail.com,7/4/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.94 ,$3.99 ,$0.00 ,$0.00 ,$0.00 ,$11.93 ,Your Name,
7/3/2019,112-0000000-0000036,Visa - 0001,Amazon.com,,your_email@gmail.com,7/5/2019,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$8.32 ,$7.96 ,$0.00 ,$0.00 ,$0.00 ,$16.28 ,Your Name,
